Registros de Búsquedas
Fecha de búsqueda,Producto
2024-06-09 23:54:26,https://listado.mercadolibre.com.ar/sillas-gamer#D[A:sillas%20gamer]
12,Piston Repuesto Para Silla Neumatico Taburete Color Negro Material Del Tapizado Cuero,$11.363
13,Silla Gamer Ergonomica Giratoria Femmto Ge002-azul Para Escritorio Pc Gaming Reclinable 180° Peso Maximo 150 Kg,$399.999
14,Silla de escritorio Tedge 435882 gamer ergonómica  negra y azul con tapizado de cuero sintético,$199.999
15,Silla Oficina Escritorio Ergonomica Ejecutivo Pc Premium Color Negro Material Del Tapizado Mesh,$69.999
16,Silla Gamer Pc Ergonomica Sg02 Negro Nictom Reclinable Material del tapizado Cuero sintético,$299.999
17,Silla de escritorio Ideon Extreme Hunter Pro gamer ergonómica  negra y roja con tapizado de cuero sintético,$189.999
18,Silla de escritorio Tedge 435878 gamer ergonómica  negra y azul con tapizado de cuero sintético,$109.999
19,Sillón Pro Gamer Momentum - Desillas Color Negro Con Azul,$182.100
20,Silla de escritorio Vonne SV-G0 gamer ergonómica  negra y roja con tapizado de cuero sintético,$403.400
21,Silla Ejecutiva Sillon Para Pc Respaldo Oficina Ergonomica Color Negro,$94.012
22,Silla de escritorio Redragon Gaia C211 gamer ergonómica  negra y blanca con tapizado de cuero sintético,$279.999
23,Sillon Pro Gamer Rapid - Desillas,$206.000
24,Silla de escritorio Constrictor Superciliosa SIC-3001 gamer ergonómica  negra con tapizado de cuero sintético y poliuretano,$579.299
25,Sillas De Escritorio Pc Gamer Ergonomica The Game House Color Celeste,$229.999
26,Silla Gamer Corsair Tc100 Relaxed Negro,$621.599
27,Silla de escritorio Freeland G-2 gamer ergonómica  negra y dorada con tapizado de cuero sintético,$169.000
28,Silla de escritorio Ph Import Premium1 24587-PRE gamer ergonómica  negra y naranja con tapizado de cuero sintético,$364.635
29,Silla de escritorio Ideon Extreme Hunter Pro gamer ergonómica  negra y azul con tapizado de cuero sintético,$189.999
30,Silla de escritorio Ph Import Hawk gamer ergonómica  negra y roja,$208.000
31,Silla Gamer Ergonomica Ken Brown Mag-10 Color Negro/Azul/Blanco Material del tapizado Cuero sintético,$269.999
32,Silla Pc Gamer Momentum Envío Gratis - Desillas Color Negro Con Rojo,$182.100
33,Silla de escritorio Marvo CH-106 gamer ergonómica  negra con tapizado de cuero sintético,$299.999
34,Sillón Ejecutivo Reforzado Ergonómico Gamer Silla De Oficina Color Negro Material del tapizado Cuero sintético,$260.083
35,Silla Gamer Ergonomica Mag-20 Ken Brown Color Gris Material del tapizado Plástico / Polímero,$294.393
36,Silla de escritorio Corsair T3 Rush gamer ergonómica  gris y charcoal con tapizado de tela,$701.219
37,Silla de escritorio Ph Import Hawk gamer ergonómica  negra,$278.000
38,Silla de escritorio Ph Import Hawk gamer ergonómica  negra y azul,$208.000
39,Silla de escritorio Constrictor Monensis SIC-2001 gamer ergonómica  negra y verde con tapizado de cuero sintético,$529.511
40,Silla Pc Gamer Sonic Envío Gratis - Desillas Color Negro/Gris,$267.000
41,Silla De Escritorio Gamer Jd 615 Regulable Ergonomica Cuero Sintetico 5 Ruedas Negro Rojo,$202.408
42,Silla de escritorio Mechanic Pro 90 PRO90 gamer ergonómica  roja y negra con tapizado de cuero sintético,$240.799
43,Silla Gamer Exahome Cuero Ecol Calidad Premium Reclinable Color Azul Material del tapizado Cuero ecológico,$179.999
44,Silla De Escritorio Baires4 Tokio Con Cabezal Ergonómica Gerencial Negra Con Tapizado Mesh/marathon Asyncro,$520.052
45,Silla De Escritorio Gamer Jd 615 Regulable Ergonomica Cuero Sintetico 5 Ruedas Negro Gris,$183.999
46,Silla De Oficina Tulip Rosa Garden Life Con Ruedas Giratoria Material del tapizado Cuero sintético,$84.589
47,Silla de escritorio Corsair T3 Rush gamer ergonómica  charcoal con tapizado de tela,$610.079
48,Silla de escritorio Su Ferretería Online Y818 ergonómica  negra con tapizado de cuero sintético,$264.000
49,Silla de escritorio Marvo CH-106 gamer ergonómica  negra y roja con tapizado de cuero sintético,$299.999
50,Silla de escritorio Shremwood 1039 gamer ergonómica  negra,$154.900

Fecha de b�squeda,Producto
2024-06-09 23:58:49,https://listado.mercadolibre.com.ar/sillas-gamer#D[A:sillas%20gamer]
N�mero de Orden,Producto,Precio
1,Silla Pc Gamer Momentum Env�o Gratis - Desillas Color Negro,$182.100
2,Silla Midtown Gamer 2.0 Pro Ergom�trica Reclinable En Negro,$182.000
3,Silla de escritorio Shremwood 032BX ergon�mica  negra con tapizado de mesh,$87.890
4,Silla de escritorio Ph Import Premium1 24587-PRE gamer ergon�mica  negra con tapizado de cuero sint�tico,$364.635
5,Sillas De Escritorio Pc Gamer Ergonomica The Game House Color Negro,$229.999
6,Silla de escritorio Broksonic 001 gamer ergon�mica  azul,$194.999
7,Silla de escritorio VX Play Luca HH5015 ergon�mica  negra con tapizado de mesh,$170.356
8,Silla Gamer Ergonomica Giratoria Femmto Ge002-Negro Para Escritorio Pc Gaming Reclinable 180� Peso Maximo 150 Kg,$399.999
9,Silla Gamer Computadora Ergonomica Cuero Sintetico Reforzada,$189.990
10,Silla de escritorio Femmto GE002 gamer ergon�mica  roja con tapizado de cuero sint�tico,$399.999
11,Silla Gamer Pro Pc Ergonomica Sg03 Negro Nictom Reclinable Material del tapizado Pana,$399.999
12,Piston Repuesto Para Silla Neumatico Taburete Color Negro Material Del Tapizado Cuero,$11.363
13,Silla Gamer Ergonomica Giratoria Femmto Ge002-azul Para Escritorio Pc Gaming Reclinable 180� Peso Maximo 150 Kg,$399.999
14,Silla de escritorio Tedge 435882 gamer ergon�mica  negra y azul con tapizado de cuero sint�tico,$199.999
15,Silla Oficina Escritorio Ergonomica Ejecutivo Pc Premium Color Negro Material Del Tapizado Mesh,$69.999
16,Silla Gamer Pc Ergonomica Sg02 Negro Nictom Reclinable Material del tapizado Cuero sint�tico,$299.999
17,Silla de escritorio Ideon Extreme Hunter Pro gamer ergon�mica  negra y roja con tapizado de cuero sint�tico,$189.999
18,Silla de escritorio Tedge 435878 gamer ergon�mica  negra y azul con tapizado de cuero sint�tico,$109.999
19,Sill�n Pro Gamer Momentum - Desillas Color Negro Con Azul,$182.100
20,Silla de escritorio Vonne SV-G0 gamer ergon�mica  negra y roja con tapizado de cuero sint�tico,$403.400
21,Silla Ejecutiva Sillon Para Pc Respaldo Oficina Ergonomica Color Negro,$94.012
22,Silla de escritorio Redragon Gaia C211 gamer ergon�mica  negra y blanca con tapizado de cuero sint�tico,$279.999
23,Sillon Pro Gamer Rapid - Desillas,$206.000
24,Silla de escritorio Constrictor Superciliosa SIC-3001 gamer ergon�mica  negra con tapizado de cuero sint�tico y poliuretano,$579.299
25,Sillas De Escritorio Pc Gamer Ergonomica The Game House Color Celeste,$229.999
26,Silla Gamer Corsair Tc100 Relaxed Negro,$621.599
27,Silla de escritorio Freeland G-2 gamer ergon�mica  negra y dorada con tapizado de cuero sint�tico,$169.000
28,Silla de escritorio Ph Import Premium1 24587-PRE gamer ergon�mica  negra y naranja con tapizado de cuero sint�tico,$364.635
29,Silla de escritorio Ideon Extreme Hunter Pro gamer ergon�mica  negra y azul con tapizado de cuero sint�tico,$189.999
30,Silla de escritorio Ph Import Hawk gamer ergon�mica  negra y roja,$208.000
31,Silla Gamer Ergonomica Ken Brown Mag-10 Color Negro/Azul/Blanco Material del tapizado Cuero sint�tico,$269.999
32,Silla Pc Gamer Momentum Env�o Gratis - Desillas Color Negro Con Rojo,$182.100
33,Silla de escritorio Marvo CH-106 gamer ergon�mica  negra con tapizado de cuero sint�tico,$299.999
34,Sill�n Ejecutivo Reforzado Ergon�mico Gamer Silla De Oficina Color Negro Material del tapizado Cuero sint�tico,$260.083
35,Silla Gamer Ergonomica Mag-20 Ken Brown Color Gris Material del tapizado Pl�stico / Pol�mero,$294.393
36,Silla de escritorio Corsair T3 Rush gamer ergon�mica  gris y charcoal con tapizado de tela,$701.219
37,Silla de escritorio Ph Import Hawk gamer ergon�mica  negra,$278.000
38,Silla de escritorio Ph Import Hawk gamer ergon�mica  negra y azul,$208.000
39,Silla de escritorio Constrictor Monensis SIC-2001 gamer ergon�mica  negra y verde con tapizado de cuero sint�tico,$529.511
40,Silla Pc Gamer Sonic Env�o Gratis - Desillas Color Negro/Gris,$267.000
41,Silla De Escritorio Gamer Jd 615 Regulable Ergonomica Cuero Sintetico 5 Ruedas Negro Rojo,$202.408
42,Silla de escritorio Mechanic Pro 90 PRO90 gamer ergon�mica  roja y negra con tapizado de cuero sint�tico,$240.799
43,Silla Gamer Exahome Cuero Ecol Calidad Premium Reclinable Color Azul Material del tapizado Cuero ecol�gico,$179.999
44,Silla De Escritorio Baires4 Tokio Con Cabezal Ergon�mica Gerencial Negra Con Tapizado Mesh/marathon Asyncro,$520.052
45,Silla De Escritorio Gamer Jd 615 Regulable Ergonomica Cuero Sintetico 5 Ruedas Negro Gris,$202.408
46,Silla De Oficina Tulip Rosa Garden Life Con Ruedas Giratoria Material del tapizado Cuero sint�tico,$84.589
47,Silla de escritorio Corsair T3 Rush gamer ergon�mica  charcoal con tapizado de tela,$610.079
48,Silla de escritorio Su Ferreter�a Online Y818 ergon�mica  negra con tapizado de cuero sint�tico,$264.000
49,Silla de escritorio Marvo CH-106 gamer ergon�mica  negra y roja con tapizado de cuero sint�tico,$299.999
50,Silla de escritorio Shremwood 1039 gamer ergon�mica  negra,$154.900

Fecha de búsqueda,Producto
2024-06-10 00:00:20,https://listado.mercadolibre.com.ar/notebook-asus#D[A:notebook%20asus]
Número de Orden,Producto,Precio
1,"Notebook Asus Vivobook Intel Core I3 1215u, 8gb De Ram, 128gb Ssd, Full Hd,  Windows 11 Home",$999.999
2,"Notebook Asus X515EA slate grey 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Gráficos Intel UHD 1366x768px FreeDOS",$724.999
3,"Notebook Asus X515EA slate grey 15.6"", Intel Core i7 1165G7  40GB de RAM 1TB SSD, Intel Iris Xe Graphics 60 Hz 1920x1080px FreeDOS",$1.328.990
4,"Notebook Asus Intel I5 1135g7 8gb 256gb Ssd 15.6"" Full Hd Windows 11 Home",$1.399.999
5,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  12GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px FreeDOS",$886.999
6,Portatil Asus Fx506hf-hn018 Corei5-11400h 16gb512ssd Rtx2050 Color Negro,$1.289.999
7,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  16GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px FreeDOS",$924.999
8,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  8GB de RAM 512GB SSD, Intel Iris Xe Graphics G7 96EUs 1920x1080px FreeDOS",$1.033.999
9,"Notebook Asus Vivobook Go 14 Star Black Intel Celeron N4500 4gb De Ram 128gb, Intel Graphics Uhd 1366px X 768px 60hz, Teclado Español. Windows 11 Home",$543.495
10,"Notebook Asus X515EA slate gray 15.6"", Intel Core i3 1115G4  8GB de RAM 240GB SSD, Intel UHD Graphics Xe 60 Hz 1920x1080px Windows 11 Home",$722.999
11,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px",$872.999
12,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  12GB de RAM 480GB SSD, Intel Iris X Graphics 1920x1080px",$963.999
13,Notebook Asus Ryzen 3 3250u 8gb Ssd 256gb 15.6 1 Color Azul,$713.999
14,"Notebook Asus VivoBook 16 F1605ZA-WS74 Core i7 1255u 16gb 512gb 16"" Fhd Win11 Color Negro",$1.699.890
15,Notebook Asus E410ma-bv225t Intel Celeron N4020 4gb Ram 128g Color Star Black,$795.599
16,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  24GB de RAM 480GB SSD 60 Hz 1920x1080px FreeDOS",$1.147.999
17,Notebook Asus X515 Core I7 1165g7 24gb Ssd 1tb 15.6 Fhd Cts Color Slate gray,$1.275.999
18,Notebook Asus Core I3 X515 11va 8gb 15.6 256gb Ssd Gamer,$568.999
19,Asus X515EA - Slate gray - 4 GB - 256 GB - 1920 px x 1080 px - Intel UHD Graphics Xe G4 48EUs - Intel - Core i3 - 1115G4 - FreeDOS,$686.999
20,Notebook Asus Vivobook Go 14 Windows 11 128gb Ssd 4gb Ram Color Dreamy white,$853.749
21,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  16GB de RAM 512GB SSD, Gráficos Intel Iris Xe 60 Hz 1920x1080px Windows 11 Home",$1.580.099
22,Notebook Asus Zenbook 14 Oled Intel® Core Ultra 7 De 16 Núcleos - Intel® Evo Edition 16gb 1tb Ux3405ma-qd270w,$4.999.999
23,Notebook Asus X515ea 15.6 I3-1115g4 4gb Ssd 256gb Fhd Free Color Plateado,$686.999
24,"Notebook ASUS Zenbook 14 14"" AMD Ryzen 5 16GB 512GB SSD UM3402YA-KP373W",$1.999.999
25,Notebook Asus X515e 15.6 Full Hd Core I3 4gb Ram 256gb Ssd Color Plateado,$687.999
26,"Notebook Asus X515EA gris 15.6"", Intel Core i3 1115G4  4GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 60 Hz 1366x768px Windows 11 Home",$687.999
27,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  40GB de RAM 1TB SSD, Gráficos Intel Iris Xe 60 Hz 1920x1080px Windows 11 Home",$1.783.599
28,Notebook Asus Vivobook 16 Ryzen 7 5800hs 12gb Ram 512gb Ssd Color Quiet blue,$1.449.999
29,Notebook Asus X515 Core I3 1115g4 4gb 256gb 15.6 Fhd Uhd Cc Color Gris,$686.999
30,Notebook Gamer Eclipse gray Asus ROG Strix G15 G513RM-HQ084W 15.6 Ryzen 7 6800h 16GB 512GB SSD Nvidia Rtx3060 165 Hz W11,$6.399.999
31,"Notebook Asus X515EA slate grey 15.6"", Intel Core i5 1135G7  12GB de RAM 256GB SSD, Tarjeta gráfica Intel Iris Xe Graphics G7 80EUs 60 Hz 1280x720px FreeDOS",$886.999
32,"Notebook Asus X515EA slate grey 15.6"", Intel Core i3 1115G4  8GB de RAM 480GB SSD, Intel UHD Graphics 60 Hz 1366x768px FreeDOS",$801.999
33,Notebook Asus Vivobook 15 X1502 Iris Xe Graphics G7 80eus Color Azul,$1.099.999
34,Notebook Asus Chrome Grey Cx1500 - 15.6'' 64gb/4gb Ram 1920x1080 Wifi Usb,$499.999
35,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  20GB de RAM 1TB SSD 1920x1080px FreeDOS",$980.999
36,Notebook Gamer ROG Strix G15 G513RC-HN091W 15.6 Ryzen 7 6800h 16GB  512GB SSD Nvidia Geforce Rtx 3050 144 Hz W11,$2.230.279
37,Notebook Gamer Asus Intel I5 8gb 256gb Ssd 15.6 1080p Led,$872.999
38,"Notebook Asus X515EA slate gray 15.6"", Intel Core i5 1135G7  8GB de RAM 500GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px FreeDOS",$924.999
39,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  16GB de RAM 1TB SSD, Gráficos Intel Iris Xe 60 Hz 1920x1080px Windows 11 Home",$1.745.199
40,Zenbook Pro 14 Duo Oled 14.5 Ux8402 I7-12700h 32gb 1tb Ssd Color Tech Black,$2.864.909
41,Asus Vivobook 16 Ryzen 9 7940hs 1tb Ssd 16gb Ddr5 Win11 Color Plateado,$2.349.999
42,Notebook Gamer ASUS TUF Gaming F15 FX506LHB-HN324W i5 16GB 512GB GTX1650,$1.749.999
43,"Notebook Asus X515EA gris 15.6"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1920x1080px FreeDOS",$859.999
44,"Notebook ASUS Zenbook Flip S13 OLED X371EA-HL390T I7 1165g7 13,3 4k Touch SSD 512GB 16GB",$2.400.000
45,"Notebook Asus Vivobook X1400ea, Intel Core I3 1115g4, 8GB Ram, 128gb Ssd, Windows 11 Home, Pantalla 14"" TOUCHSCREEN Táctil",$728.499
46,"Notebook Asus Ultra Thin L510MA star black 15.6"", Intel Celeron N4020  4GB de RAM 128GB SSD, Intel UHD Graphics 600 1920x1080px Windows 10 Home",$520.227
47,"Notebook Asus X515EA slate gray 15.6"", Intel Core i3 1115G4  12GB de RAM 960GB SSD, Gráficos Intel UHD 1366x768px FreeDOS",$890.999
48,"Notebook Asus X515EA slate gray 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1920x1080px Windows 10 Home",$900.000
49,Notebook Gamer Asus Tuf Intel I5 16gb 512ssd Rtx2050 Win 11,$2.476.849
50,Notebook Asus Vivobook 15 X1502za-ej830w Intel I3 8gb 256gb,$1.253.849

Fecha de búsqueda,Producto
2024-06-10 00:01:09,https://listado.mercadolibre.com.ar/notebook-asus-17#D[A:notebook%20asus%2017]
Número de Orden,Producto,Precio
1,Notebook Asus Vivobook 15 X1502 Iris Xe Graphics G7 80eus Color Azul,$1.099.999
2,Notebook Gamer Asus Intel I5 8gb 256gb Ssd 15.6 1080p Led,$872.999
3,"Notebook Asus X515EA X515EA-EJ2202 slate gray Intel Core i5 1135G7  16GB de RAM 480GB SSD, Gráficos Intel Iris X 60 Hz 1920x1080px FreeDOS",$988.999
4,Notebook ASUS Vivobook 15 X1502ZA-EJ194W I7-1260p 8gb 512gb Win11,$1.559.079
5,Notebook Asus X515ea Slate Gray 15.6 Intel Core I7 1165g7 16gb De Ram 512gb Ssd Gráficos Intel Iris Xe 60 Hz 1920x1080px Free Dos,$1.110.999
6,Notebook Asus X515ea Slate Gray 15.6 Intel Core I3 1115g4 12gb De Ram 1tb Ssd M2 Pcie Nvme Gráficos Intel Graphics 60 Hz 1920x1080px Windows 11 Home,$877.999
7,Notebook Asus X515ea Slate Gray 15.6 Intel Core I7 1165g7 40gb De Ram 512gb Ssd Gráficos Intel Iris Xe 60 Hz 1920x1080px Free Dos,$1.211.999
8,Notebook Asus X515ea Slate Gray Intel Core I3 1115g4 16gb De Ram 256gb Ssd Intel Graphics 60 Hz Freedos,$801.999
9,Notebook Asus Zenbook Pro 14 Duo Oled Ux8402za-m3045w I7 Color Plateado,$5.250.000
10,Notebook Asus X515ea Slate Gray Intel Core I3 1115g4 16gb De Ram 512gb Ssd Intel Graphics 60 Hz Freedos,$877.999
11,"Notebook Asus Intel Core I7 40gb 500gb Ssd 15,6 Gamer",$931.999
12,Notebook Asus Vivobook 15 Intel I3 8gb 256 Gbvx1502za-ej830w,$814.999
13,Notebook Asus Vivobook 15 I3 8gb Ram 256gb Ssd 15.6 Pulgadas,$899.149
14,"Notebook Asus X515EA slate gray 15.6"", Intel Core i7 1165G7  12GB de RAM 480GB SSD, Intel Iris Plus 60 Hz 1920x1080px Windows 11 Home",$1.631.699
15,"Notebook Asus Intel Core I7 15,6 16gb 480 Gb Ssd Gamer Csi",$986.999
16,Notebook Asus X515ea Slate Gray 15.6 Intel Core I3 1115g4 12gb De Ram 512gb Ssd M2 Pcie Nvme Gráficos Intel Graphics 60 Hz 1920x1080px Windows 11 Home,$830.999
17,Notebook Asus Core I5 11° X1502 8gb 256gb Ssd Gamer Win11,$849.999
18,Notebook Asus Vivobook 15 I7-1255u X1504za-nj502w 512gb 16gb Color Plateado,$1.989.499
19,Notebook Asus X515ea Slate Gray 15.6 Intel Core I3 1115g4 4gb De Ram 512gb Ssd Intel Uhd Graphics Xe 1920x1080px Windows 11 Home,$759.999
20,Notebook Asus Core I3 X515 11va 16gb 15´ 256gb Ssd Gamer Csi,$713.999
21,Notebook Asus Core I3 12gb 15.6 Windows + Ssd 960gb Gamer,$708.999
22,Notebook Asus Vivobook 15  Intel I3 8gb Ram 256gb Ssd 15.6,$1.325.999
23,Notebook Asus I3 12gb 15.6 Windows + Ssd 960gb Gamer Si9,$940.999
24,Notebook Asus Core I3 X515 11va 16gb 15.6 256gb Ssd Gamer,$616.999
25,"Notebook Asus X515 Intel Core I7 15,6 16gb 480 Gb Ssd Gamer",$853.999
26,"Notebook Asus Intel Core I7 24gb 480gb Ssd 15,6 Gamer Csi",$1.021.999
27,Notebook Asus Zenbook 17 Fold Oled Ux9702aa-md007w I7 16gb Color Tech black,$8.356.999
28,Notebook Asus Tuf F17 Gaming Nvidia Rtx3050 Ti Intel Core I7,$2.200.000
29,Notebook Asus I3 12gb 15.6 Windows + Ssd 960gb Gamer Csi,$836.999
30,Notebook Asus Vivobook S15 Intel I9 13900 H A350m 16 Gb 1 Tb,$2.499.999
31,Notebook Intel I5 1235u Asus Vivobook 8gb Ssd 512gb Freedos,$1.150.000
32,Notebook Asus Vivobook 15  I5 1240p 8gb Ram 256gb Ssd W11 Azul,$1.266.977
33,Notebook Asus Tuf Gaming F17 I5 8gb Ram 512gb Ssd Rtx3050ti,$1.830.109
34,Notebook Asus Core I3 4gb 15.6 Windows + Ssd 480gb Gamer,$612.999
35,Notebook Asus Tuf 17.3 Fhd I5 11va 16gb 512gb Ssd Rtx 3050ti,$2.369.000
36,"Notebook Asus Intel Core I7 15,6 16gb 480 Gb Ssd 6si",$1.063.999
37,Asus Expertbook B2 Flip 14  360º Core I7-1260p 8gb 512gb,$2.000.000
38,Notebook Asus Vivobook Intel Core I7 12th 8gb Ddr4 512gbssd,$949.990
